"job_title","salary_from","salary_to","salary","town","employer","url","responsibilities","job site"
"Шеф-повар",100000,180000,180000,"Казань","Ресторан Чизерия","https://hh.ru/vacancy/92718012","Полное руководство над производственным процессом. Оптимизация трудозатрат на изготовление блюд меню. Проведений своевременных корректировок в меню. Разработка и обеспечение эффективности..., Опыт работы в аналогичной должности не менее 3 х лет. Успешный опыт руководством коллектива. Знание санитарных норм и требований (СанПин). ",""
"Управляющий ресторанно-банным комплексом",100000,150000,150000,"Казань","Столичная фабрика","https://hh.ru/vacancy/92506907","Бара, заключает договоры с поставщиками и контролирует качество продуктов. Работников зала ресторана: официантами, <highlighttext>поварами</highlighttext>, барменами; хостес. Работников технического звена (электрик..., Коммуникабельность. За время работы ему приходится общаться с огромным количеством людей, налаживать с ними эмоциональный контакт и деловые отношения, решать...",""
"Повар",50000,120000,120000,"Казань","Ресторан Чизерия","https://hh.ru/vacancy/92606086","Контроль качества выпускаемых блюд. Контроль за соблюдением санитарных норм. Проведение ежемесячной инвентаризации. Поддержание чистоты на рабочем месте., Опыт работы в аналогичной должности приветствуется. Знание санитарных норм и требований (СанПин). Знание правил эксплуатации технологического оборудования. Чистоплотность, коммуникабельность, умение...",""
"Повар-технолог в сеть общественного питания",100000,0,100000,"Казань","Туганов Родион Андреевич","https://hh.ru/vacancy/92761178","...карт, оформление соответствующих нормативных документов, обучение процессам приготовления кулинарной продукции <highlighttext>поварами</highlighttext> на производстве, соблюдение сроков хранения продуктов и сырья, контроль..., Требования: Профильное образование. Опыт практической работы <highlighttext>поваром</highlighttext>-технологом от 2-х лет. Знание продуктов, сырья, кухонного оборудования. Личные качества - дисциплинированность...",""
"Шеф-повар (доставка еды г. Казань)",85000,100000,100000,"Казань","Аппетит","https://hh.ru/vacancy/92625866","Выстраивание эффективной работы филиала. -Составление рациональных графиков. -Контроль технологических процессов. -Соблюдение норм СанПиН. -Соблюдение техники безопасности. -Контроль движения сырья на..., Опыт работы в сфере общественного питания. – Знание 1С. Общепит. Ключевые навыки: – Уверенный пользователь ПК. – Умение управлять персоналом. – ",""
"Повар горячего цеха",70000,100000,100000,"Казань","Семейный Дворик","https://hh.ru/vacancy/92548187","Приготовление блюд по технологическим картам. Соблюдение норм и правил производственной санитарии. Помощь в оформлении документов., None",""
"Помощник повара",90000,0,90000,"Казань","Мавлимшина Алина","https://hh.ru/vacancy/92583202","None, Соблюдать порядок и чистоту на рабочем месте. Требования: Чистоплотный(ая) , трудолюбивый(ая).",""
"Повар",90000,0,90000,"Казань","Смирнова Оксана Владимировна","https://hh.ru/vacancy/92577444","Приготовление блюд согласно технологическим картам. Контроль качества приготовленных блюд., Строгое соблюдение санитарных норм и правил безопасности труда. ТРЕБОВАНИЯ: Знать технологию производства, рецептуры. Опыт работы в аналогичной должности или профильное...",""
"Шеф-повар",80000,0,80000,"Казань","Алерм","https://hh.ru/vacancy/92563125","Организация производственного процесса: -Управление и координация технологических процессов между подразделениями - цехами. -Контроль соблюдения профессиональных обязанностей руководящего состава: су-шефов, а..., Уcпешный опыт paботы на анaлoгичнoй должноcти от 3-x лeт. Знание европейcкой кухни, итaльянcкой, aмeрикaнской, пaнaзиатской, русской кухни, стейки, смокер. -",""
"Шеф-повар",80000,0,80000,"Казань","Гостиница Глазов","https://hh.ru/vacancy/92464180","организация бесперебойной работы предприятия. - управление персоналом. - контроль качества приготовления блюд. - планирование потребности блюд. - контроль подачи блюд и качества обслуживания. - , Требуемый опыт работы: 3–6 лет.",""
